source_id,phot_g_mean_mag,bp_rp,parallax,h_m,j_m,ks_m,ph_qual
4184232872939114112,13.94113,1.3490801,0.2842465916530545,11.641,12.194,11.511,AAA
4184233216536513280,13.814072,1.2669392,0.2497250602498134,11.663,12.171,11.552,AAA
4184233216536516480,13.786736,1.3058262,0.2662967252357216,11.558,12.116,11.448,AAA
4184233384025230592,13.700575,1.6423721,0.11333354059930342,10.813,11.621,10.698,AAA
4184233525774128768,13.204685,0.9997034,1.756426391160235,11.563,11.898,11.452,AAA
4184233628853350656,8.992768,0.01609993,1.2716650353309433,8.988,8.97,9.033,AAA
4184233693260301184,12.706732,0.9492817,1.6463128155548086,11.191,11.489,11.127,AAA
4184233835012132736,9.869132,2.2801037,0.4367457761318147,6.288,7.157,6.023,AAA
4184233938091348736,12.393402,1.2171183,5.877394488873469,10.421,10.859,10.308,AAA
4184234277375851136,12.6688175,1.3619652,1.0589308358284741,10.413,10.922,10.271,AAA
4184234316048547456,10.403444,1.4617214,1.4506709496632246,7.933,8.531,7.783,AAA
4184234384767600384,13.275965,1.5576544,0.22303871336414546,10.563,11.306,10.413,AAA
4184234797084473344,13.785368,1.6093149,0.3257539057105624,11.107,11.787,10.932,AAA
4184234865803953536,13.65423,1.2566347,0.6568734336149683,11.561,12.042,11.457,AAA
4184234998933028736,13.37765,0.9529066,1.2493850782972729,11.818,12.153,11.757,AAA
4184235239448524544,12.528433,0.727705,1.0358950739046675,11.365,11.596,11.288,AAA
4184235552998626816,12.92686,0.70618916,1.2493176853155068,11.781,11.981,11.723,AAA
4184235621718101120,13.515051,1.5343447,0.24473096096761252,10.876,11.545,10.713,AAA
4184236098443345664,13.8649,0.9726181,0.47201021391648734,12.214,12.544,12.158,AAA
4184236205833755008,12.375031,1.2945538,1.1589247227724342,10.22,10.738,10.079,AAA
4184236308912984960,13.304104,1.4321089,0.6338261332952977,10.895,11.497,10.752,AAA
4184236716918656128,13.75901,0.9660301,0.8615804270649312,12.171,12.471,12.093,AAA
4184236785636752896,13.487354,0.95600605,1.3340645377261395,11.913,12.243,11.811,AAA
4184236858668695936,13.827434,0.9768858,1.6682556780553885,12.248,12.602,12.174,AAA
4184236957436864128,13.393392,1.3021879,0.5400411881812452,11.216,11.75,11.072,AAA
4184236961747914112,13.096426,1.4210854,0.4853012662437354,10.678,11.258,10.534,AAA
4184237030467388672,13.4947605,1.6041355,0.2771214127316665,10.789,11.491,10.589,AAA
4184237060516091264,13.5598135,1.7638617,0.10444689914217298,10.561,11.349,10.41,AAA
4184237099186867840,13.370797,1.6177464,0.1674210334053981,10.583,11.333,10.456,AAA
4184237477144118272,13.020434,0.75357914,1.2104607554939992,11.834,12.038,11.765,AAA
4184237923820683264,13.321897,1.1543398,1.3533717646537042,11.433,11.843,11.341,AAA
4184237992540162432,12.861317,1.6886301,0.2779989668225968,10.0,10.732,9.818,AAA
4184238164338859008,13.38821,2.7266083,0.11348121194038077,9.49,10.363,9.18,AAA
4184238267418447488,13.195776,1.4365978,0.30584991027606484,10.696,11.351,10.576,AAA
4184238400547203200,13.858596,0.79707146,0.8992903009416193,12.549,12.819,12.516,AAA
4184238434904191232,12.533628,1.1951551,1.0073641591011062,10.45,10.973,10.362,AAA
4184238537983405952,12.514123,1.2905655,0.88297503853639,10.359,10.869,10.218,AAA
4184238542296353280,12.921107,0.9000778,2.208746107995127,11.493,11.785,11.401,AAA
4184238645375566720,13.72563,0.9146414,1.4033564570465753,12.221,12.547,12.17,AAA
4184238675422358144,13.249258,0.80787086,1.3940768234846055,11.999,12.215,11.91,AAA
4184238851533639552,13.986115,1.346838,2.862392484990574,11.737,12.3,11.629,AAU
4184238954612850816,13.156473,1.2736683,0.3787869563563827,10.976,11.485,10.853,AAA
4184238988972591360,13.948368,1.4374828,0.3132415136937614,11.493,12.108,11.348,AAA
4184239019019742080,13.283166,0.893713,1.9267252524213552,11.815,12.123,11.748,AAA
4184239298210250496,13.222917,1.8409681,0.22317897670715398,10.171,10.931,9.976,AAA
4184239328259008512,11.875105,4.098649,0.23254471005200622,6.882,7.843,6.496,AAA
4184239637496715776,13.517086,0.950078,0.7445213332228684,11.908,12.255,11.801,AAA
4184240324689802368,12.755306,0.7524328,1.0429387315212517,11.532,11.759,11.476,AAA
4184240500802339840,10.846734,0.772069,1.8171100944232768,9.637,9.845,9.57,AAA
4184240535160927616,13.451705,1.2487326,0.26560666603140226,11.322,11.842,11.203,AAA
4184240737006661376,12.331607,1.0314837,1.6683130875151357,10.655,11.006,10.556,AAA
4184240771366400512,11.851197,1.8384323,0.39529976327615185,8.863,9.591,8.619,AAA
4184240844398577664,13.375236,1.4249401,0.29078018226419833,11.0,11.528,10.819,AAA
4184241016197524224,13.465881,1.1218805,2.876369380892461,11.688,12.071,11.576,AAA
4184241080606778368,13.947727,1.3699903,0.2338306681970018,11.623,12.179,11.492,AAA
4184241325435169152,10.386273,0.5796728,2.714122667737354,9.521,9.633,9.405,AAA
4184241497233642880,13.360945,1.0676231,0.3144823369677519,11.543,11.928,11.452,AAA
4184241840831017728,13.976249,0.86298275,0.5553146812333118,12.571,12.817,12.469,EEA
4184241943910228992,13.92865,1.1832886,2.6117661434456285,12.0,12.432,11.896,AAA
